time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,Global Volcanism Program - Volcanoes of the World 5.1.4,Unnamed: 1,Unnamed: 2,Unnamed: 3,Downloaded on 22 Nov 2023 at 10:50 AM,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
2023-11-11T04:53:32.190Z,64.0831,-22.5073,10.0,4.7,mb,71.0,65.0,0.841,1.3,us,us7000laaw,2023-12-02T02:07:49.040Z,"7 km E of Garður, Iceland",earthquake,3.97,1.812,0.049,128.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-11T00:58:05.822Z,64.0263,-22.2952,10.0,4.2,mb,28.0,116.0,0.838,0.52,us,us6000lnty,2023-11-18T05:59:54.040Z,"6 km NE of Vogar, Iceland",earthquake,6.66,1.912,0.121,19.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-10T23:41:40.918Z,63.9601,-22.5024,10.0,4.6,mb,68.0,52.0,0.942,0.39,us,us7000la96,2023-11-18T03:45:01.040Z,"5 km SE of Reykjanesbær, Iceland",earthquake,6.24,1.832,0.069,62.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-10T22:36:23.676Z,64.0376,-22.5216,10.0,4.5,mb,38.0,111.0,0.882,0.78,us,us6000lnlg,2023-11-19T00:17:45.040Z,"4 km NNE of Keflavík, Iceland",earthquake,5.55,1.858,0.111,24.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-10T22:24:51.407Z,63.9786,-22.3633,10.0,4.4,mb,17.0,121.0,0.894,0.5,us,us6000lnlf,2023-11-19T00:04:38.040Z,"1 km ESE of Vogar, Iceland",earthquake,7.94,1.945,0.203,7.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-10T21:51:20.674Z,63.9718,-22.4278,10.0,4.6,mb,78.0,103.0,0.914,0.55,us,us7000la8n,2023-11-20T04:11:31.040Z,"2 km WSW of Vogar, Iceland",earthquake,5.84,1.844,0.062,79.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-10T21:34:38.041Z,63.9254,-22.2161,10.995,4.2,mb,19.0,166.0,0.912,0.89,us,us6000lnls,2023-11-18T05:09:27.040Z,"10 km SE of Vogar, Iceland",earthquake,6.41,3.37,0.187,8.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-10T19:45:17.137Z,63.9742,-22.4244,10.0,4.8,mb,114.0,91.0,0.911,0.86,us,us7000la7g,2023-11-10T20:35:32.040Z,"2 km WSW of Vogar, Iceland",earthquake,6.63,1.908,0.056,104.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-10T19:12:04.800Z,63.9856,-22.3937,10.0,4.9,mb,139.0,62.0,0.895,0.76,us,us7000la6z,2023-11-14T18:24:53.040Z,"0 km NW of Vogar, Iceland",earthquake,6.55,1.901,0.045,159.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-10T18:52:07.895Z,63.9804,-22.4566,10.0,4.6,mb,80.0,62.0,0.914,0.69,us,us7000la6r,2023-11-10T20:07:10.040Z,"3 km W of Vogar, Iceland",earthquake,6.67,1.907,0.066,71.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-10T18:46:44.192Z,63.8739,-22.5185,10.0,4.7,mb,64.0,92.0,1.019,0.86,us,us7000la6q,2023-11-10T20:06:43.040Z,Iceland region,earthquake,7.82,1.801,0.075,57.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-10T18:09:00.702Z,63.9486,-22.3812,10.0,5.3,mww,251.0,21.0,0.924,0.69,us,us7000la6d,2023-12-02T22:16:52.295Z,"3 km S of Vogar, Iceland",earthquake,6.14,1.742,0.043,52.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-10T18:06:07.371Z,63.9985,-22.6072,10.0,4.5,mb,64.0,104.0,0.936,0.71,us,us7000la6l,2023-11-10T19:31:43.040Z,"2 km W of Reykjanesbær, Iceland",earthquake,5.9,1.918,0.077,50.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-10T18:00:56.693Z,63.8776,-22.5737,10.0,5.2,mww,186.0,24.0,1.029,0.69,us,us7000la69,2023-12-02T22:18:38.504Z,"7 km WNW of Grindavík, Iceland",earthquake,6.95,1.766,0.044,49.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-10T17:30:38.347Z,64.0848,-22.5415,10.0,4.9,mb,116.0,86.0,0.849,0.95,us,us7000la5q,2023-11-10T18:50:15.040Z,"5 km ENE of Garður, Iceland",earthquake,4.99,1.846,0.053,109.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-10T16:56:29.677Z,63.9824,-22.3372,10.0,4.8,mb,37.0,110.0,0.885,0.55,us,us7000la5b,2023-12-04T16:20:23.040Z,"2 km E of Vogar, Iceland",earthquake,6.21,1.893,0.069,65.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-10T12:45:01.297Z,63.9781,-22.2488,10.0,4.1,mb,46.0,119.0,0.87,0.66,us,us6000lnki,2023-11-18T07:03:22.040Z,"6 km E of Vogar, Iceland",earthquake,6.23,1.909,0.099,28.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-09T02:57:02.698Z,63.967,-22.3556,10.0,4.4,mb,30.0,116.0,0.902,0.96,us,us7000l9ri,2023-11-26T00:28:55.040Z,Iceland region,earthquake,4.2,1.904,0.149,13.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-09T02:56:36.143Z,63.9726,-22.259,10.0,4.3,mb,15.0,121.0,0.877,0.9,us,us7000l9rj,2023-11-26T01:00:27.040Z,,earthquake,8.19,1.937,0.154,12.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-09T01:35:24.161Z,64.0806,-22.3026,10.0,4.3,mb,14.0,119.0,0.792,0.99,us,us6000lncm,2023-12-06T03:35:31.040Z,"11 km NNE of Vogar, Iceland",earthquake,5.59,1.949,0.237,5.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-09T01:24:14.842Z,64.0761,-22.2404,10.0,4.5,mb,56.0,112.0,0.782,0.84,us,us7000l9r3,2023-12-01T06:22:08.065Z,"11 km WSW of Álftanes, Iceland",earthquake,7.03,1.891,0.094,33.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-09T00:46:08.136Z,63.945,-22.3542,5.679,4.6,mb,61.0,116.0,0.922,0.73,us,us7000l9r1,2023-11-29T03:14:12.726Z,"4 km SSE of Vogar, Iceland",earthquake,7.63,4.357,0.079,47.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-09T00:13:15.579Z,63.9801,-22.188,10.557,4.3,mb,29.0,121.0,0.857,0.36,us,us7000l9qw,2023-11-29T03:44:59.040Z,Iceland region,earthquake,7.2,5.336,0.116,21.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-03T13:14:07.544Z,63.9297,-22.1705,10.0,4.4,mb,57.0,108.0,0.9,0.31,us,us7000l9mq,2023-11-11T07:54:58.040Z,"11 km ESE of Vogar, Iceland",earthquake,6.15,1.895,0.09,36.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-03T04:25:44.241Z,63.9573,-22.2647,10.0,4.6,mb,39.0,99.0,0.892,0.89,us,us7000l8i0,2023-11-24T02:47:23.239Z,,earthquake,2.87,1.864,0.129,18.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-30T12:19:08.867Z,64.0421,-22.1975,10.0,4.2,mb,37.0,139.0,0.803,0.75,us,us7000l8li,2023-11-06T07:05:50.827Z,"10 km SW of Álftanes, Iceland",earthquake,3.93,1.897,0.108,24.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-25T08:18:43.164Z,63.9808,-22.4086,10.0,4.6,mb,59.0,85.0,0.902,0.78,us,us7000l66j,2023-11-23T06:25:30.962Z,"1 km W of Vogar, Iceland",earthquake,2.45,1.846,0.068,64.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-25T05:35:40.279Z,63.9058,-22.2997,5.0,3.5,mb_lg,5.0,239.0,0.945,0.38,us,us7000l661,2023-11-29T22:40:57.040Z,,earthquake,5.82,2.021,0.361,2.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-24T22:19:46.229Z,64.7362,-17.7358,10.0,5.2,mww,155.0,56.0,1.541,0.75,us,us7000l63e,2023-11-22T05:08:54.565Z,"106 km S of Akureyri, Iceland",earthquake,7.45,1.86,0.041,57.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-14T16:13:12.325Z,64.5521,-18.0735,10.0,4.1,mb,15.0,159.0,1.414,0.76,us,us6000lgmx,2023-10-21T18:36:18.040Z,"126 km S of Akureyri, Iceland",earthquake,11.7,1.953,0.198,7.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-04T16:11:59.831Z,64.4897,-17.7682,10.0,5.0,mb,147.0,49.0,1.555,0.77,us,us6000lcv0,2023-10-28T19:36:43.040Z,"126 km W of Höfn, Iceland",earthquake,8.01,1.819,0.052,118.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-03T02:22:22.112Z,64.6557,-17.7947,10.0,4.3,mb,43.0,59.0,1.52,0.87,us,us7000ksxx,2023-11-17T19:47:48.040Z,"115 km S of Akureyri, Iceland",earthquake,8.69,1.888,0.092,33.0,reviewed,us,us,,,,,,,,,,,,,,,,,,,,,,,,
